word,meaning,sort,title,phonetic,definition
atmosphere,n. 大气层，大气圈；气氛,1,Chapter 1 自然地理,/ˈætməsfɪə(r)/,The air around the Earth
hydrosphere,n. 水圈；大气中的水汽,1,Chapter 1 自然地理,/ˈhaɪdrəʊsfɪə(r)/,All the water on Earth
lithosphere,n. 岩石圈,1,Chapter 1 自然地理,/ˈlɪθəsfɪə(r)/,The rocky outer part of Earth
oxygen,n. 氧气,1,Chapter 1 自然地理,/ˈɒksɪdʒən/,A gas we need to breathe and live
oxide,n. 氧化物,1,Chapter 1 自然地理,/ˈɒksaɪd/,Something made with oxygen
carbon dioxide,n. 二氧化碳,1,Chapter 1 自然地理,/ˌkɑːbən daɪˈɒksaɪd/,A gas we breathe out
hydrogen,n. 氢气,1,Chapter 1 自然地理,/ˈhaɪdrədʒən/,The lightest gas that can burn
core,n.果核,1,Chapter 1 自然地理,/kɔː(r)/,The middle part of something
crust,n. 地壳；外壳,1,Chapter 1 自然地理,/krʌst/,The hard outside layer
mantle,n. 地幔；斗篷，披风 v. 覆盖,1,Chapter 1 自然地理,/ˈmænt(ə)l/,The layer under Earth's crust
longitude,n. 经度,1,Chapter 1 自然地理,/ˈlɒŋɡɪtjuːd/,Lines on a map from north to south
latitude,n. 纬度,1,Chapter 1 自然地理,/ˈlætɪtjuːd/,Lines on a map from east to west
horizon,n. 地平线；[~s] 眼界，见识,1,Chapter 1 自然地理,/həˈraɪz(ə)n/,The line where sky meets land or sea
altitude,n. 高度，海拔,1,Chapter 1 自然地理,/ˈæltɪtjuːd/,How high something is above sea level
disaster,n. 灾难,1,Chapter 1 自然地理,/dɪˈzɑːstə(r)/,A very bad event that hurts people
mishap,n. 小灾难,1,Chapter 1 自然地理,/ˈmɪshæp/,A small accident or problem
catastrophic,adj. 灾难性的,1,Chapter 1 自然地理,/ˌkætəˈstrɒfɪk/,Very bad and causing great harm
calamity,n. 灾难，不幸的事,1,Chapter 1 自然地理,/kəˈlæməti/,A very bad event or disaster
endanger,v. 使遭受危险，危及,1,Chapter 1 自然地理,/ɪnˈdeɪndʒə(r)/,To put in danger
jeopardise,v. 危害，危及,1,Chapter 1 自然地理,/ˈdʒepədaɪz/,To put something at risk
destructive,adj. 破坏性的，有害的,1,Chapter 1 自然地理,/dɪˈstrʌktɪv/,Able to break or damage things
El Nino,n. 厄尔尼诺现象,1,Chapter 1 自然地理,/ˌel ˈniːnjəʊ/,A weather pattern that makes ocean water warm
greenhouse,n. 温室，暖房,1,Chapter 1 自然地理,/ˈɡriːnhaʊs/,A glass house for growing plants
phenomenon,n. 现象,1,Chapter 1 自然地理,/fəˈnɒmɪnən/,Something that happens in nature
pebble,n. 鹅卵石,1,Chapter 1 自然地理,/ˈpeb(ə)l/,A small smooth stone
magnet,n. 磁铁，吸铁石,1,Chapter 1 自然地理,/ˈmæɡnət/,A piece of metal that pulls iron to it
ore,n. 矿石；矿,1,Chapter 1 自然地理,/ɔː(r)/,Rock that has metal in it
mineral,n. 矿物，矿物质；矿产,1,Chapter 1 自然地理,/ˈmɪnərəl/,A natural material found in rocks
marble,n. 大理石；(玩具)弹球,1,Chapter 1 自然地理,/ˈmɑːb(ə)l/,A hard smooth stone used in buildings
quartz,n. 石英,1,Chapter 1 自然地理,/kwɔːts/,A hard shiny rock or crystal
granite,n. 花岗岩,1,Chapter 1 自然地理,/ˈɡrænɪt/,A very hard gray rock
gust,n. 一阵狂风；(感情的)迸发,1,Chapter 1 自然地理,/ɡʌst/,A sudden strong wind
breeze,n. 微风，和风,1,Chapter 1 自然地理,/briːz/,A light gentle wind
monsoon,n. 季风；雨季,1,Chapter 1 自然地理,/ˌmɒnˈsuːn/,A wind that brings lots of rain
gale,n. 大风,1,Chapter 1 自然地理,/ɡeɪl/,A very strong wind
hurricane,n. 飓风；暴风,1,Chapter 1 自然地理,/ˈhʌrɪkən/,A huge dangerous storm with strong winds
tornado,n. 龙卷风,1,Chapter 1 自然地理,/tɔːˈneɪdəʊ/,A spinning wind that destroys things
